2,1000
-182458095.690250,-930215824.698600,8110123.300000
104950699.155365,16162813.599066,8141680.200000
-201540713.196805,-929326846.156663,8141680.200000
105581199.829366,16147097.303757,8173237.100000
-220505620.320533,-928049412.686134,8173237.100000
106210176.179219,16126678.649224,8204794.000000
-239346629.117806,-926389767.571813,8204794.000000
106837554.949583,16101634.143887,8236350.900000
-258057785.333927,-924354129.481507,8236350.900000
107463265.655939,16072039.944447,8267907.800000
-276633359.929090,-921948688.494544,8267907.800000
108087240.483388,16037971.811952,8299464.700000
-295067840.852072,-919179602.531708,8299464.700000
108709414.188486,15999505.072475,8331021.600000
-313355925.061999,-916052994.158431,8331021.600000
109329724.004138,15956714.582047,8362578.500000
-331492510.797459,-912574947.734721,8362578.500000
109948109.547504,15909674.695551,8394135.400000
-349472690.091334,-908751506.886926,8394135.400000
110564512.730904,15858459.239290,8425692.300000
-367291741.528887,-904588672.277965,8425692.300000
111178877.675671,15803141.486956,8457249.200000
-384945123.246021,-900092399.654105,8457249.200000
111791150.628923,15743794.138751,8488806.100000
-402428466.163987,-895268598.147770,8488806.100000
112401279.883183,15680489.303416,8520363.000000
-419737567.456382,-890123128.817171,8520363.000000
113009215.698809,15613298.482964,8551919.900000
-436868384.243868,-884661803.404811,8551919.900000
113614910.229155,15542292.559883,8583476.800000
-453817027.511700,-878890383.298081,8583476.800000
114218317.448423,15467541.786651,8615033.700000
-470579756.244919,-872814578.676307,8615033.700000
114819393.082117,15389115.777350,8646590.600000
-487152971.775832,-866440047.829635,8646590.600000
115418094.540043,15307083.501235,8678147.500000
-503533212.338287,-859772396.636147,8678147.500000
116014380.851785,15221513.278092,8709704.400000
-519717147.823103,-852817178.184540,8709704.400000
116608212.604589,15132472.775242,8741261.300000
-535701574.728984,-845579892.530556,8741261.300000
117199551.883575,15040029.006055,8772818.200000
-551483411.303190,-838065986.576213,8772818.200000
117788362.214219,14944248.329847,8804375.100000
-567059692.866248,-830280854.061606,8804375.100000
118374608.507026,14845196.453050,8835932.000000
-582427567.315003,-822229835.659830,8835932.000000
118958257.004328,14742938.431540,8867488.900000
-597584290.798354,-813918219.166213,8867488.900000
119539275.229140,14637538.674023,8899045.800000
-612527223.560084,-805351239.773707,8899045.800000
120117631.936001,14529060.946394,8930602.700000
-627253825.943286,-796534080.426858,8930602.700000
120693297.063738,14417568.376968,8962159.600000
-641761654.550960,-787471872.247357,8962159.600000
121266241.690085,14303123.462521,8993716.500000
-656048358.557472,-778169695.024668,8993716.500000
121836437.988097,14185788.075047,9025273.400000
-670111676.165689,-768632577.765728,9025273.400000
122403859.184289,14065623.469185,9056830.300000
-683949431.204714,-758865499.298165,9056830.300000
122968479.518451,13942690.290233,9088387.200000
-697559529.863275,-748873388.921892,9088387.200000
123530274.205064,13817048.582701,9119944.100000
-710939957.553965,-738661127.104334,9119944.100000
124089219.396276,13688757.799348,9151501.000000
-724088775.903650,-728233546.214918,9151501.000000
124645292.146370,13557876.810653,9183057.900000
-737004119.865519,-717595431.294775,9183057.900000
125198470.377677,13424463.914671,9214614.800000
-749684194.948377,-706751520.857952,9214614.800000
125748732.847877,13288576.847235,9246171.700000
-762127274.558923,-695706507.720691,9246171.700000
126296059.118642,13150272.792465,9277728.600000
-774331697.452916,-684465039.855639,9277728.600000
126840429.525566,13009608.393553,9309285.500000
-786295865.291232,-673031721.268080,9309285.500000
127381825.149343,12866639.763775,9340842.400000
-798018240.297003,-661411112.891547,9340842.400000
127920227.788139,12721422.497722,9372399.300000
-809497343.010120,-649607733.500359,9372399.300000
128455619.931120,12574011.682708,9403956.200000
-820731750.135558,-637626060.636860,9403956.200000
128987984.733093,12424461.910332,9435513.100000
-831720092.482082,-625470531.551315,9435513.100000
129517305.990216,12272827.288173,9467070.000000
-842461052.988047,-613145544.152591,9467070.000000
130043568.116743,12119161.451603,9498626.900000
-852953364.831115,-600655457.967925,9498626.900000
130566756.122762,11963517.575683,9530183.800000
-863195809.618850,-588004595.110220,9530183.800000
131086855.592893,11805948.387140,9561740.700000
-873187215.657275,-575197241.251462,9561740.700000
131603852.665911,11646506.176403,9593297.600000
-882926456.294578,-562237646.600979,9593297.600000
132117734.015260,11485242.809686,9624854.500000
-892412448.337295,-549130026.887369,9624854.500000
132628486.830429,11322209.741095,9656411.400000
-901644150.536384,-535878564.343060,9656411.400000
133136098.799151,11157458.024769,9687968.300000
-910620562.140739,-522487408.690552,9687968.300000
133640558.090413,10991038.327019,9719525.200000
-919340721.515787,-508960678.129482,9719525.200000
134141853.338230,10823000.938475,9751082.100000
-927803704.824900,-495302460.323766,9751082.100000
134639973.626171,10653395.786220,9782639.000000
-936008624.771500,-481516813.388120,9782639.000000
135134908.472602,10482272.445918,9814195.900000
-943954629.399775,-467607766.873364,9814195.900000
135626647.816631,10309680.153910,9845752.800000
-951640900.952063,-453579322.749972,9845752.800000
136115182.004723,10135667.819287,9877309.700000
-959066654.781028,-439435456.389393,9877309.700000
136600501.777967,9960284.035935,9908866.600000
-966231138.314854,-425180117.542728,9908866.600000
137082598.259981,9783577.094534,9940423.500000
-973133630.073761,-410817231.316417,9940423.500000
137561462.945419,9605594.994524,9971980.400000
-979773438.736234,-396350699.144600,9971980.400000
138037087.689078,9426385.456024,10003537.300000
-986149902.253436,-381784399.757925,10003537.300000
138509464.695576,9245995.931703,10035094.200000
-992262387.010351,-367122190.148543,10035094.200000
138978586.509593,9064473.618603,10066651.100000
-998110287.032285,-352367906.531142,10066651.100000
139444446.006646,8881865.469915,10098208.000000
-1003693023.235425,-337525365.299844,10098208.000000
139907036.384398,8698218.206698,10129764.900000
-1009010042.720213,-322598363.980865,10129764.900000
140366351.154476,8513578.329544,10161321.800000
-1014060818.106389,-307590682.180850,10161321.800000
140822384.134792,8327992.130196,10192878.700000
-1018844846.908599,-292506082.530814,10192878.700000
141275129.442343,8141505.703102,10224435.600000
